t_start,t_end,N,T,rate,lo,hi,t_mid,width_s,gap_N,gap_sum,gap_mean,gap_median,gap_p10,gap_p90,gap_p99,gap_min,gap_max,sigma_SEE
2022-11-09 11:50:54.109810944,2022-11-09 22:39:17.947794688,5859,16594312504.223185,1.1033524284504308e-08,1.0752791237700247e-08,1.1319731882303666e-08,2022-11-09 17:15:06.028802816,38903.837983,4757,11970852038.69364,2516470.8931456045,651234.415014267,193328.51249828338,1884310.6025028236,4749355.594783229,61003.7063999176,2556232025.5108204,3.5307277710413787e-07
2022-11-09 22:39:17.947794688,2022-11-10 05:37:56.961296128,1095,16634666644.146688,2.057074585984607e-09,1.9370232268957745e-09,2.1826186011261146e-09,2022-11-10 02:08:37.454545408,25119.013501,1084,16645281623.063683,15355425.851534763,1262006.1384887695,583137.012724686,2750860.0542987823,4370336.195161897,171335.5333557129,15048998084.785088,6.582638675150742e-08
2022-11-10 05:37:56.961296128,2022-11-10 13:05:31.841584128,5332,16619525845.070627,1.0025857629952854e-08,9.758536256165106e-09,1.0298646406567485e-08,2022-11-10 09:21:44.401440128,26854.880288,3921,16606754414.177063,4235336.499407565,826013.3965148926,276772.9955062866,2185410.210609436,6191628.22973328,61.87378692626953,7329762366.60553,3.2082744415849134e-07
2022-11-10 13:05:31.841584128,2022-11-10 19:57:22.415841536,3392,16592501860.397873,6.388427790566974e-09,6.1752291927157476e-09,6.607109081950082e-09,2022-11-10 16:31:27.128712832,24710.574257,3121,16600963762.529,5319116.873607498,914290.7342910767,324357.29807281494,2302953.200958252,6143554.44488068,156562.78451538086,2818501238.174881,2.0442968929814318e-07
2022-11-10 19:57:22.415841536,2022-11-11 01:35:11.213321472,3072,16596485537.914383,5.78435716288787e-09,5.581599632746488e-09,5.992597671702306e-09,2022-11-10 22:46:16.814581504,20268.797479,2623,16620011788.919258,6336260.689637536,1204037.1148910522,399444.2255493164,3067479.582858277,29617719.69316894,21.880523681640625,3813187090.817993,1.8509942921241183e-07
2022-11-11 01:35:11.213321472,2022-11-11 07:01:05.242124288,4770,16621289552.813187,8.968166972024795e-09,8.715449573266171e-09,9.226352632716132e-09,2022-11-11 04:18:08.227722880,19554.028802,4218,16615864161.331284,3939275.5242606173,1285180.700515747,634892.3587234498,2848253.933778382,5635951.821929314,119.23338317871094,3481669102.455902,2.8698134310479343e-07
2022-11-11 07:01:05.242124288,2022-11-11 12:58:28.302430208,3150,16653319997.058176,5.9109835166434725e-09,5.706346185341634e-09,6.121084703074208e-09,2022-11-11 09:59:46.772277248,21443.060305,2860,16634553074.620468,5816277.298818345,1109994.4747924805,631799.014074707,2469832.900363159,23747754.536053784,237390.10568237305,3653128625.888397,1.8915147253259112e-07
2022-11-11 12:58:28.302430208,2022-11-11 19:58:49.425742592,9199,16611594208.324371,1.730530775041111e-08,1.6953456388403076e-08,1.7662623120779887e-08,2022-11-11 16:28:38.864086400,25221.123312,8058,16613165178.997849,2061698.3344499688,718910.3002243042,270629.6340286255,1978259.8308425904,5372085.463912515,89.09797668457031,1702576860.0887146,5.537698480131555e-07
2022-11-11 19:58:49.425742592,2022-11-12 02:22:35.188118784,5863,16599644931.548203,1.1037510185039344e-08,1.0756770926223774e-08,1.1323722228026823e-08,2022-11-11 23:10:42.306930688,23025.762376,5010,16605339908.952438,3314439.103583321,955853.4456634521,371916.83682556154,2228873.1089004516,4439181.813933709,232669.91177368164,2757113732.3346252,3.53200325921259e-07
2022-11-12 02:22:35.188118784,2022-11-12 09:28:53.695769600,5092,16644167929.145477,9.560405823673373e-09,9.29959740297524e-09,9.826674137245818e-09,2022-11-12 05:55:44.441944192,25578.50765,4736,16625101574.166931,3510367.731031869,892882.8637237549,299009.3966522217,2193009.883682251,10389237.31607042,193.32949829101562,2705522467.364105,3.059329863575479e-07
