t_start,t_end,N,T,rate,lo,hi,t_mid,width_s,gap_N,gap_sum,gap_mean,gap_median,gap_p10,gap_p90,gap_p99,gap_min,gap_max,sigma_SEF
2022-09-14 10:00:00.814580224,2022-09-16 20:14:15.884265984,2229,29848218269.587074,2.333682009789311e-09,2.2845262338578125e-09,2.3838880673915157e-09,2022-09-15 15:07:08.349423104,209655.069685,807,9279788261.845413,11499118.044418108,311486.0488510132,86620.57193374634,763610.5063415527,115230029.14661129,0.0,2649657029.4701233,428507395.5257005
2022-09-16 20:14:15.884265984,2022-09-17 03:17:30.258182144,177,9931542717.804073,5.56937643744334e-10,4.779093039326281e-10,6.453021761285554e-10,2022-09-16 23:45:53.071224064,25394.373916,141,9956660632.435993,70614614.41443966,3603572.802165985,948562.803062439,27280776.778671265,1290590007.1061175,440138.4656677246,2237908317.4261856,1795533146.7216403
2022-09-17 03:17:30.258182144,2022-09-17 12:09:59.795864064,613,19895542154.395607,9.628413164789143e-10,9.241728149764181e-10,1.0031005259050811e-09,2022-09-17 07:43:45.027023104,31949.537681,603,19897761494.3463,32997946.093443282,952215.8428955078,493367.731817627,2229509.423019409,855536082.2410328,213971.60373687744,7689365629.955681,1038592738.8917772
2022-09-17 12:09:59.795864064,2022-09-17 16:30:44.052246272,3559,9966945938.319588,1.115875923159179e-08,1.0795131509942801e-08,1.1531513036486846e-08,2022-09-17 14:20:21.924055168,15644.256382,3184,9966932010.084976,3130317.842363372,675341.5665512085,262423.97567749023,1542940.2312355046,5162877.791030658,160803.929397583,812480427.6059875,89615698.237209
2022-09-17 16:30:44.052246272,2022-09-17 21:36:27.493708544,6286,9936447820.738329,1.976938877392542e-08,1.9283661059774378e-08,2.026425784667996e-08,2022-09-17 19:03:35.772977408,18343.441462,5852,9921282270.495941,1695366.0749309538,572792.1912384033,205288.46961975098,1256368.3540893556,2828605.085069578,3203.852340698242,743876804.0811005,50583253.30315407
2022-09-17 21:36:27.493708544,2022-09-18 02:33:55.166482688,1403,9972594625.557892,4.396423563396098e-09,4.169357612443919e-09,4.632640746426748e-09,2022-09-18 00:05:11.330095616,17847.672774,1271,9983363648.153137,7854731.430490273,460847.11640930176,195017.0283203125,1000638.2933959961,1949539.17324371,150238.58520507812,7804530373.700699,227457610.84665185
2022-09-18 02:33:55.166482688,2022-09-18 06:50:59.081225728,831,9937712769.650833,2.613151597549385e-09,2.438479282801938e-09,2.797031672923726e-09,2022-09-18 04:42:27.123854208,15423.914743,758,9933421869.13173,13104778.191466661,675616.995552063,247591.40658874513,1296121.5906219482,2766740.732119743,201362.86083984375,7947017687.644531,382679673.44022465
2022-09-18 06:50:59.081225728,2022-09-18 11:12:38.423017728,5278,9940733166.774933,1.6592086039616593e-08,1.6147445882495476e-08,1.704586714969208e-08,2022-09-18 09:01:48.752121728,15699.341792,4177,9946804878.83165,2381327.4787722407,530512.0283660889,237836.82094421386,1305470.4892181396,4104696.793308714,197195.02714538574,1445537998.565506,60269697.108146615
2022-09-18 11:12:38.423017728,2022-09-18 15:15:00.971204096,4111,9976709289.925312,1.2876866135583444e-08,1.2486214561101463e-08,1.3276631300031794e-08,2022-09-18 13:13:49.697110912,14542.548186,3554,9971321136.42276,2805661.546545515,640253.3087463379,227506.8980545044,1375160.0081069947,2706646.510707092,29538.363540649414,1567779063.9321594,77658646.86879347
2022-09-18 15:15:00.971204096,2022-09-19 09:51:24.829516544,7444,9922417733.199982,2.344438686769322e-08,2.2914797417875593e-08,2.398312745686812e-08,2022-09-19 00:33:12.900360320,66983.858312,3441,9920309406.793259,2882972.800579267,657234.1856536865,233707.4432220459,1607731.6422271729,6235805.0108215185,155.63681030273438,2268703979.5992584,42654133.18946795
